transactionID,carrierID,customerID,amount,date
1,2,536,9.81,2005-01-01 21:44:00
2,3,279,8.92,2007-11-11 15:55:37
3,1,664,11.69,2009-03-31 16:34:31
4,2,6,9.71,2006-11-22 08:28:19
5,3,394,17.35,2009-02-07 13:23:37
6,3,919,10.89,2009-10-27 05:34:43
7,3,693,19.17,2006-05-31 20:04:47
8,2,968,8.57,2007-10-09 06:30:13
9,3,783,7.16,2006-12-12 08:12:11
10,1,277,19.17,2006-02-05 19:44:47
11,2,236,6.74,2009-05-12 16:42:12
12,2,489,16.29,2005-04-29 04:53:24
13,2,505,6.75,2006-11-14 00:40:48
14,1,208,7.03,2006-10-11 08:22:09
15,2,955,11.72,2009-08-14 02:13:45
16,2,419,14.53,2007-03-10 19:35:39
17,3,551,8.59,2009-09-04 04:17:19
18,1,817,12.99,2006-01-19 06:18:25
19,1,334,16.63,2005-07-27 19:30:56
20,3,699,15.72,2006-11-22 03:10:37
21,1,443,13.96,2008-07-20 03:17:46
22,3,338,6.67,2009-06-13 17:05:30
23,3,79,15.83,2009-09-18 05:40:17
24,2,609,16.43,2006-05-12 15:52:47
25,3,760,9.41,2007-04-17 21:01:19
26,2,187,9.77,2005-10-18 23:55:19
27,2,268,6.15,2006-04-10 19:00:26
28,2,536,5.6,2006-05-08 18:01:13
29,3,28,12.85,2008-05-05 00:11:37
30,3,899,11.88,2007-10-05 15:20:35
31,1,201,7.41,2007-11-01 16:42:26
32,3,474,13.6,2008-05-09 15:19:03
33,2,799,17.29,2009-01-09 01:22:54
34,3,701,12.18,2007-08-31 02:56:36
35,3,492,14.36,2007-07-31 20:52:42
36,1,132,10.54,2008-07-23 03:56:27
37,3,259,14.74,2007-06-02 22:54:38
38,3,284,12.86,2005-07-17 12:37:49
39,2,280,10.82,2008-09-16 03:38:38
40,2,331,16.91,2006-05-11 03:42:12
41,3,164,6.8,2006-06-26 17:12:13
42,2,939,9.27,2008-02-08 07:02:07
43,2,724,11.02,2009-09-15 23:19:07
44,1,188,16.56,2005-01-31 08:09:00
45,2,546,5.21,2007-01-13 02:08:05
46,1,872,13.08,2005-09-16 08:17:11
47,2,819,5.59,2008-06-17 17:30:06
48,1,926,6.17,2007-07-19 14:30:42
49,3,152,9.64,2009-07-20 09:41:49
50,2,304,5.99,2009-01-18 09:04:51
51,1,119,13.51,2008-08-14 15:09:55
52,2,49,8.59,2008-01-13 21:14:46
53,2,37,14.87,2009-12-01 12:40:14
54,1,962,9.25,2009-12-28 06:44:12
55,1,416,15.85,2005-07-03 02:08:15
56,2,225,18.97,2005-03-23 14:24:31
57,2,121,6.88,2005-01-27 23:48:22
58,3,676,10.73,2007-05-13 21:07:25
59,1,368,10.83,2006-11-23 12:49:13
60,2,512,17.09,2005-09-14 11:23:22
61,3,526,5.28,2006-04-20 03:26:35
62,3,420,8.84,2008-02-07 19:18:03
63,3,797,7.94,2009-08-02 00:55:54
64,1,274,14.95,2009-04-18 00:21:18
65,3,788,16.13,2005-06-10 15:34:52
66,2,843,8.88,2006-04-15 15:58:37
67,2,94,9.61,2009-09-21 16:45:32
68,3,295,14.42,2009-12-10 16:01:39
69,3,690,17.6,2006-03-22 13:33:19
70,2,888,11.82,2008-02-21 22:12:19
71,3,501,12.52,2008-11-17 23:21:51
72,1,442,16.2,2006-09-09 20:19:27
73,2,432,13.57,2009-07-23 19:11:54
74,2,591,16.49,2007-03-15 22:56:49
75,2,560,6.03,2006-01-15 21:50:17
76,3,360,17.91,2005-05-08 17:39:20
77,2,893,11.26,2007-11-22 14:31:20
78,2,694,15.73,2008-03-27 08:31:13
79,3,3,16.1,2007-04-14 09:58:15
80,1,619,14.27,2006-10-25 21:13:24
81,2,653,17.88,2005-08-01 04:11:34
82,2,575,19.03,2007-06-25 17:00:57
83,1,688,16.23,2008-07-29 15:27:21
84,1,765,19.8,2005-09-11 01:24:07
85,2,254,12.15,2006-06-17 03:35:02
86,1,861,16.02,2009-07-20 22:42:48
87,3,945,12.76,2005-10-21 05:15:27
88,3,255,13.72,2005-06-26 16:26:46
89,1,403,5.1,2008-07-04 10:56:26
90,1,215,11.63,2007-01-06 17:06:49
91,1,352,11.56,2006-09-06 03:31:58
92,1,635,14.62,2007-09-03 04:38:22
93,2,779,14.98,2006-09-10 16:38:33
94,3,924,5.84,2009-12-16 19:45:36
95,3,924,14.69,2008-02-07 02:29:45
96,3,697,5.11,2006-03-21 13:35:46
97,3,673,18.26,2007-10-20 07:40:00
98,1,537,9.31,2005-09-19 21:51:41
99,2,16,16.81,2006-07-11 10:18:04
100,3,47,17.14,2005-08-29 16:37:36
101,3,32,14.94,2005-10-19 07:41:24
102,2,719,6.19,2007-11-23 13:38:54
103,1,58,9.75,2007-04-10 07:52:09
104,3,550,9.1,2007-01-29 08:17:00
105,1,720,19.13,2008-04-04 01:11:47
106,2,988,14.0,2009-06-03 08:43:04
107,1,216,16.34,2009-04-23 09:17:27
108,3,284,7.27,2008-06-02 11:07:32
109,1,277,14.86,2006-11-12 02:50:43
110,1,415,17.08,2009-07-26 22:24:43
111,2,465,17.37,2009-08-07 23:07:28
112,1,946,17.96,2006-12-25 14:28:51
113,2,373,18.66,2009-10-04 02:10:10
114,3,452,15.01,2006-07-28 17:12:31
115,2,637,15.52,2009-01-09 08:48:09
116,1,394,12.57,2005-09-07 04:31:04
117,2,183,9.0,2009-09-17 19:30:59
118,1,377,19.81,2009-01-24 23:42:58
119,1,798,19.12,2008-03-26 02:04:20
120,2,985,11.21,2006-06-15 22:27:25
121,2,49,9.88,2009-07-28 22:05:39
122,1,673,12.29,2005-03-26 06:35:59
123,2,77,11.71,2009-01-23 08:18:05
124,1,734,12.41,2005-04-09 12:04:52
125,1,654,8.17,2007-12-30 19:08:50
126,3,658,14.26,2009-08-08 07:22:13
127,2,661,7.48,2009-12-20 14:58:48
128,2,278,7.5,2006-02-12 21:33:42
129,1,34,6.68,2009-01-23 13:26:31
130,2,446,16.03,2006-10-31 16:32:17
131,1,864,11.0,2009-03-05 18:22:32
132,2,650,19.18,2006-11-17 16:45:46
133,1,972,10.64,2008-06-07 14:22:41
134,2,901,12.93,2007-07-01 06:21:44
135,1,18,16.03,2007-08-04 11:29:34
136,1,220,10.51,2006-07-14 02:37:12
137,1,206,6.77,2008-05-21 10:37:05
138,3,29,14.34,2005-03-02 10:40:14
139,2,947,9.51,2007-05-19 19:49:19
140,3,921,6.63,2005-01-18 13:31:40
141,1,936,14.37,2009-03-21 11:06:37
142,3,597,7.1,2009-06-03 01:50:17
143,2,259,16.81,2008-05-02 16:54:30
144,1,601,11.87,2007-05-06 07:59:46
145,3,556,16.13,2007-07-28 12:10:18
146,3,553,15.88,2005-07-30 17:07:29
147,2,577,8.08,2006-04-02 23:40:51
148,2,665,8.12,2006-12-22 01:26:58
149,2,389,7.69,2007-07-01 15:44:54
150,2,343,15.69,2007-03-26 08:24:24
151,2,610,19.88,2009-02-27 03:51:14
152,1,607,9.9,2005-11-25 23:24:02
153,1,356,16.27,2009-10-05 01:23:42
154,2,140,6.36,2008-12-02 14:42:50
155,3,23,8.26,2007-03-29 21:26:40
156,2,864,13.26,2005-11-29 08:42:59
157,1,541,12.92,2005-12-19 14:49:41
158,3,450,8.38,2005-05-21 18:47:54
159,1,234,5.04,2007-08-16 05:06:05
160,1,498,18.1,2009-11-08 15:24:23
161,2,907,16.05,2009-11-28 13:33:01
162,1,654,15.04,2007-08-14 06:52:24
163,1,932,19.8,2005-05-13 02:52:27
164,2,612,14.29,2006-11-06 17:22:01
165,3,989,19.35,2009-07-05 09:50:10
166,3,795,5.14,2009-05-06 13:04:13
167,3,684,5.77,2008-09-08 05:53:51
168,2,446,17.37,2008-10-04 22:12:02
169,3,29,9.29,2006-09-06 17:59:26
170,1,586,6.83,2009-09-24 03:32:07
171,3,294,14.1,2008-04-10 15:57:29
172,1,565,14.97,2009-05-10 05:18:35
173,3,650,11.62,2006-09-19 19:25:38
174,1,58,7.8,2006-12-05 22:08:56
175,2,719,12.06,2006-07-31 17:44:48
176,1,566,10.77,2006-09-08 11:53:03
177,2,187,16.46,2006-02-19 18:31:17
178,3,889,8.78,2008-05-02 09:02:34
179,1,849,9.5,2007-08-04 14:54:10
180,2,780,10.47,2008-02-28 04:25:06
181,3,370,7.52,2005-12-25 19:36:01
182,2,393,18.46,2009-06-11 04:18:29
183,3,700,8.03,2006-06-20 14:49:43
184,1,801,11.44,2008-05-01 14:23:27
185,1,943,18.59,2006-02-26 09:17:13
186,2,402,18.02,2006-12-23 00:36:14
187,2,554,9.55,2007-04-27 23:47:52
188,2,442,8.4,2008-12-30 20:44:32
189,2,513,7.61,2009-05-25 13:02:32
190,3,785,7.77,2007-06-29 19:45:13
191,3,987,15.98,2005-03-10 06:47:38
192,3,150,10.5,2005-07-28 11:28:07
193,2,379,11.73,2005-08-23 23:05:27
194,3,316,7.92,2008-02-16 13:22:12
195,2,638,5.88,2009-04-13 18:56:59
196,2,883,10.28,2008-02-29 00:30:05
197,3,350,11.6,2008-08-09 00:38:20
198,3,278,9.13,2009-07-21 20:45:56
199,3,828,8.35,2005-07-27 21:44:57
200,2,77,17.8,2009-10-28 10:04:38
201,1,187,7.5,2008-10-18 13:20:58
202,3,592,18.77,2006-09-26 12:46:46
203,1,444,19.93,2007-06-27 15:12:05
204,3,738,5.56,2006-11-30 06:36:49
205,2,427,15.28,2009-10-22 16:50:51
206,3,974,7.04,2005-11-26 16:25:08
207,1,169,8.91,2005-04-02 04:12:15
208,2,630,10.12,2007-07-20 05:03:51
209,2,839,12.98,2005-09-03 14:01:35
210,2,251,14.28,2007-04-22 03:54:34
211,2,684,18.23,2008-06-23 18:14:35
212,1,627,5.8,2005-05-24 07:54:09
213,1,545,14.27,2005-11-10 12:17:08
214,2,538,10.06,2009-04-04 23:44:59
215,1,686,9.8,2005-11-22 01:28:36
216,3,470,7.87,2009-08-11 18:42:56
217,3,915,13.43,2005-10-24 11:58:42
218,3,324,14.4,2005-06-28 10:38:58
219,3,340,9.5,2005-10-23 23:35:15
